10.0,1188
10.0104,1199
10.0208,1156
10.0312,1212
10.0416,1199
10.052,1155
10.0624,1149
10.0728,1202
10.0832,1212
10.0936,1201
10.104,1223
10.1144,1151
10.1248,1233
10.1352,1140
10.1456,1194
10.156,1217
10.1664,1177
10.1768,1220
10.1872,1212
10.1976,1154
10.208,1219
10.2184,1249
10.2288,1174
10.2392,1168
10.2496,1160
10.26,1161
10.2704,1193
10.2808,1191
10.2912,1199
10.3016,1234
10.312,1230
10.3224,1117
10.3328,1183
10.3432,1211
10.3536,1220
10.364,1162
10.3744,1204
10.3848,1202
10.3952,1173
10.4056,1157
10.416,1174
10.4264,1186
10.4368,1173
10.4472,1227
10.4576,1178
10.468,1128
10.4784,1143
10.4888,1135
10.4992,1146
10.5096,1173
10.52,1208
10.5304,1161
10.5408,1085
10.5512,1126
10.5616,1138
10.572,1160
10.5824,1147
10.5928,1135
10.6032,1106
10.6136,1101
10.624,1129
10.6344,1174
10.6448,1133
10.6552,1152
10.6656,1148
10.676,1144
10.6864,1169
10.6968,1145
10.7072,1187
10.7176,1158
10.728,1096
10.7384,1126
10.7488,1126
10.7592,1152
10.7696,1095
10.78,1121
10.7904,1125
10.8008,1130
10.8112,1142
10.8216,1113
10.832,1146
10.8424,1100
10.8528,1177
10.8632,1096
10.8736,1137
10.884,1129
10.8944,1142
10.9048,1218
10.9152,1122
10.9256,1132
10.936,1148
10.9464,1110
10.9568,1089
10.9672,1116
10.9776,1124
10.988,1115
10.9984,1129
11.0088,1129
11.0192,1154
11.0296,1137
11.04,1102
11.0504,1105
11.0608,1110
11.0712,1076
11.0816,1127
11.092,1115
11.1024,1114
11.1128,1097
11.1232,1094
11.1336,1121
11.144,1136
11.1544,1130
11.1648,1083
11.1752,1108
11.1856,1101
11.196,1120
11.2064,1102
11.2168,1095
11.2272,1095
11.2376,1124
11.248,1108
11.2584,1097
11.2688,1097
11.2792,991
11.2896,1055
11.3,1054
11.3104,1091
11.3208,1059
11.3312,1153
11.3416,1082
11.352,1039
11.3624,1090
11.3728,1072
11.3832,1058
11.3936,1085
11.404,1077
11.4144,1128
11.4248,1055
11.4352,1016
11.4456,1110
11.456,1021
11.4664,1073
11.4768,1078
11.4872,1128
11.4976,1113
11.508,1084
11.5184,1126
11.5288,1126
11.5392,1098
11.5496,1079
11.56,1051
11.5704,1016
11.5808,1068
11.5912,1063
11.6016,1084
11.612,1066
11.6224,1064
11.6328,1133
11.6432,1065
11.6536,1095
11.664,1059
11.6744,1044
11.6848,1109
11.6952,1150
11.7056,1071
11.716,1055
11.7264,1054
11.7368,1077
11.7472,1033
11.7576,1036
11.768,1071
11.7784,1082
11.7888,1082
11.7992,1045
11.8096,1046
11.82,1071
11.8304,1073
11.8408,1055
11.8512,1096
11.8616,1025
11.872,1037
11.8824,1069
11.8928,1049
11.9032,1030
11.9136,1047
11.924,1052
11.9344,1054
11.9448,1004
11.9552,1036
11.9656,1024
11.976,1036
11.9864,1069
11.9968,1048
12.0072,1093
12.0176,1064
12.028,1059
12.0384,1005
12.0488,1005
12.0592,1051
12.0696,993
12.08,1109
12.0904,985
12.1008,1106
12.1112,1044
12.1216,1083
12.132,1054
12.1424,1069
12.1528,1018
12.1632,1036
12.1736,1048
12.184,964
12.1944,1086
12.2048,1070
12.2152,1027
12.2256,1048
12.236,1029
12.2464,987
12.2568,1054
12.2672,1020
12.2776,1012
12.288,1056
12.2984,1012
12.3088,1056
12.3192,1040
12.3296,1050
12.34,1057
12.3504,1037
12.3608,973
12.3712,1009
12.3816,1023
12.392,995
12.4024,1050
12.4128,1065
12.4232,1012
12.4336,1107
12.444,1055
12.4544,1026
12.4648,1035
12.4752,1026
12.4856,984
12.496,993
12.5064,1059
12.5168,1033
12.5272,1040
12.5376,1053
12.548,990
12.5584,1007
12.5688,990
12.5792,1007
12.5896,1026
12.6,1067
12.6104,1001
12.6208,1003
12.6312,995
12.6416,1032
12.652,1053
12.6624,1040
12.6728,1019
12.6832,1046
12.6936,1011
12.704,1003
12.7144,981
12.7248,1029
12.7352,1011
12.7456,1031
12.756,1027
12.7664,1063
12.7768,1030
12.7872,1006
12.7976,1012
12.808,1033
12.8184,959
12.8288,959
12.8392,1000
12.8496,980
12.86,986
12.8704,982
12.8808,1005
12.8912,979
12.9016,1063
12.912,1018
12.9224,1033
12.9328,1002
12.9432,956
12.9536,986
12.964,1004
12.9744,1008
12.9848,1040
12.9952,1089
13.0056,1054
13.016,1002
13.0264,969
13.0368,989
13.0472,1026
13.0576,990
13.068,1038
13.0784,1052
13.0888,1052
13.0992,1033
13.1096,1005
13.12,1009
13.1304,986
13.1408,1049
13.1512,1042
13.1616,978
13.172,979
13.1824,1009
13.1928,1032
13.2032,1039
13.2136,943
13.224,1013
13.2344,969
13.2448,987
13.2552,1035
13.2656,1013
13.276,996
13.2864,1012
13.2968,973
13.3072,1029
13.3176,987
13.328,988
13.3384,1024
13.3488,1024
13.3592,967
13.3696,955
13.38,1011
13.3904,953
13.4008,939
13.4112,994
13.4216,1000
13.432,1011
13.4424,969
13.4528,1015
13.4632,1007
13.4736,956
13.484,983
13.4944,996
13.5048,1056
13.5152,984
13.5256,1011
13.536,974
13.5464,954
13.5568,985
13.5672,956
13.5776,990
13.588,963
13.5984,988
13.6088,988
13.6192,972
13.6296,917
13.64,993
13.6504,932
13.6608,974
13.6712,983
13.6816,972
13.692,969
13.7024,996
13.7128,972
13.7232,989
13.7336,972
13.744,980
13.7544,1009
13.7648,997
13.7752,966
13.7856,996
13.796,1048
13.8064,992
13.8168,991
13.8272,963
13.8376,981
13.848,993
13.8584,1011
13.8688,1011
13.8792,1040
13.8896,955
13.9,918
13.9104,962
13.9208,1013
13.9312,976
13.9416,928
13.952,989
13.9624,993
13.9728,1000
13.9832,991
13.9936,978
14.004,985
14.0144,996
14.0248,993
14.0352,970
14.0456,1002
14.056,982
14.0664,971
14.0768,972
14.0872,1001
14.0976,981
14.108,981
14.1184,955
14.1288,955
14.1392,989
14.1496,972
14.16,1009
14.1704,962
14.1808,1025
14.1912,1049
14.2016,955
14.212,983
14.2224,1021
14.2328,1052
14.2432,970
14.2536,964
14.264,917
14.2744,950
14.2848,918
14.2952,1010
14.3056,995
14.316,1032
14.3264,1009
14.3368,995
14.3472,942
14.3576,1008
14.368,964
14.3784,1008
14.3888,964
14.3992,963
14.4096,962
14.42,975
14.4304,981
14.4408,983
14.4512,932
14.4616,972
14.472,999
14.4824,986
14.4928,986
14.5032,1033
14.5136,1000
14.524,977
14.5344,934
14.5448,984
14.5552,948
14.5656,956
14.576,1009
14.5864,958
14.5968,971
14.6072,1029
14.6176,1002
14.628,961
14.6384,983
14.6488,961
14.6592,983
14.6696,969
14.68,1013
14.6904,960
14.7008,996
14.7112,990
14.7216,1026
14.732,984
14.7424,994
14.7528,988
14.7632,983
14.7736,948
14.784,1006
14.7944,1005
14.8048,930
14.8152,970
14.8256,982
14.836,1002
14.8464,974
14.8568,999
14.8672,973
14.8776,1071
14.888,954
14.8984,987
14.9088,978
14.9192,978
14.9296,935
14.94,959
14.9504,930
14.9608,1010
14.9712,950
14.9816,995
14.992,959
15.0024,984
15.0128,993
15.0232,1014
15.0336,978
15.044,974
15.0544,988
15.0648,981
15.0752,916
15.0856,988
15.096,986
15.1064,1014
15.1168,936
15.1272,968
15.1376,1006
15.148,988
15.1584,1014
15.1688,1012
15.1792,937
15.1896,927
15.2,968
15.2104,1013
15.2208,1006
15.2312,970
15.2416,924
15.252,964
15.2624,987
15.2728,921
15.2832,938
15.2936,976
15.304,998
15.3144,880
15.3248,986
15.3352,984
15.3456,975
15.356,947
15.3664,1046
15.3768,993
15.3872,1018
15.3976,990
15.408,969
15.4184,969
15.4288,969
15.4392,1002
15.4496,985
15.46,915
15.4704,983
15.4808,1004
15.4912,970
15.5016,1017
15.512,943
15.5224,965
15.5328,989
15.5432,952
15.5536,961
15.564,940
15.5744,992
15.5848,970
15.5952,917
15.6056,940
15.616,927
15.6264,959
15.6368,1003
15.6472,979
15.6576,962
15.668,992
15.6784,962
15.6888,992
15.6992,964
15.7096,949
15.72,1009
15.7304,991
15.7408,939
15.7512,939
15.7616,871
15.772,960
15.7824,945
15.7928,963
15.8032,973
